Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
245,"[3053, 3329, 3445, 3845, 4201, 4381, 4500]","[1160, 3290, 3485, 5904, 6282, 11335, 0]",0.09602145427852982,4.69,0
259,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1160, 3290, 3485, 5904, 6282, 11335, 0]",0.09983769787179868,4.61,1
263,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1160, 3290, 3485, 5904, 6282, 12972, 0]",0.10566550203387529,4.49,1
264,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 12972, 0]",0.06783715759702166,5.38,1
266,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 12972, 0]",0.06783715759702166,5.38,1
273,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 11415, 0]",0.06950564756133795,5.33,1
286,"[2473, 3329, 3445, 3845, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 11415, 0]",0.06950564756133795,5.33,0
290,"[2473, 3329, 3445, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 11415, 0]",0.0550974705835016,5.8,1
295,"[2473, 3329, 3437, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 11415, 0]",0.05530013270165824,5.79,1
297,"[2473, 3329, 3437, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 13360, 0]",0.054451952284038575,5.82,1
301,"[2473, 3088, 3437, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 5904, 6282, 13360, 0]",0.0223845197362243,7.6,1
302,"[2473, 3088, 3437, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 4821, 6282, 13360, 0]",0.023297807293758778,7.52,1
319,"[2473, 3088, 3560, 4080, 4201, 4381, 4500]","[1576, 3290, 3485, 4821, 6282, 13360, 0]",0.02125780421843657,7.7,1
320,"[2473, 3088, 3560, 4080, 4201, 4381, 4500]","[1576, 3290, 3900, 4821, 6282, 13360, 0]",0.01762527445938231,8.08,1
327,"[2473, 3088, 3560, 4080, 4201, 4381, 4500]","[1576, 3290, 3900, 4821, 6282, 13360, 0]",0.01762527445938231,8.08,1
331,"[2473, 3088, 3560, 4080, 4201, 4381, 4500]","[1239, 3290, 3900, 4821, 6282, 13360, 0]",0.04676300900562424,6.13,1
332,"[2473, 3088, 3560, 4080, 4201, 4381, 4500]","[1239, 3290, 3900, 4821, 6282, 13455, 0]",0.04595527256674431,6.16,1
333,"[2473, 3088, 3560, 4080, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 6282, 13455, 0]",0.039575346959548355,6.46,1
334,"[2928, 3088, 3560, 4080, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 6282, 13455, 0]",0.0861663224745673,4.9,1
339,"[2928, 3088, 3560, 4080, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13455, 0]",0.09078815286447296,4.8,1
343,"[2928, 3088, 3560, 4080, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.09060006414094891,4.8,1
359,"[2928, 3088, 3581, 4080, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.09090628132301315,4.8,1
364,"[2928, 3088, 3581, 4127, 4201, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.09088741617043399,4.8,1
366,"[2928, 3088, 3581, 4127, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.08649529906078653,4.9,1
370,"[2400, 3088, 3581, 4127, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.031723346247555746,6.9,1
373,"[2400, 3088, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.03089069921893359,6.95,1
379,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.07338487548352111,5.22,1
380,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.07338487548352111,5.22,1
386,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13971, 0]",0.07338487548352111,5.22,0
392,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13638, 0]",0.07262043161879252,5.25,1
409,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 10612, 0]",0.0696635907032276,5.33,1
411,"[2400, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 10612, 0]",0.0696635907032276,5.33,1
417,"[2867, 3402, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 10612, 0]",0.11897378971223077,4.26,1
421,"[2867, 3237, 3581, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 10612, 0]",0.10153053882132673,4.57,1
426,"[2867, 3237, 3636, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 10612, 0]",0.09369269353893796,4.74,1
430,"[2867, 3237, 3636, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.10146167730784153,4.58,1
436,"[2867, 3237, 3636, 3929, 4158, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.10146167730784153,4.58,0
444,"[2867, 3237, 3636, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.10061687799728061,4.59,1
446,"[2628, 3237, 3636, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.07932022486010865,5.07,1
447,"[2400, 3237, 3636, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.04722231962850572,6.11,1
455,"[2443, 3237, 3636, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 15850, 0]",0.052250758430157994,5.9,1
457,"[2443, 3237, 3636, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 14664, 0]",0.053802985077929986,5.84,1
463,"[2443, 3237, 3651, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 14664, 0]",0.052311711814756044,5.9,1
464,"[2443, 3237, 3651, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 14664, 0]",0.052311711814756044,5.9,0
468,"[2443, 3237, 3651, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 14664, 0]",0.052311711814756044,5.9,0
473,"[2443, 3237, 3651, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 14664, 0]",0.052311711814756044,5.9,0
476,"[2443, 3237, 3651, 3929, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 17298, 0]",0.048396022215388294,6.06,1
486,"[2443, 3237, 3651, 3982, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 17298, 0]",0.05196506344919078,5.91,1
507,"[2443, 3237, 3651, 3982, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.05483530502897876,5.81,1
511,"[2443, 3237, 3651, 3982, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.05483530502897876,5.81,0
512,"[2443, 3237, 3651, 4133, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.05898679831779344,5.66,1
523,"[2840, 3237, 3651, 4133, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.11041409190534111,4.41,1
525,"[2840, 3237, 3701, 4133, 4229, 4413, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.10677007985765984,4.47,1
529,"[2840, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.11431320131827707,4.34,1
543,"[2840, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.11431320131827707,4.34,0
544,"[2840, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.11431320131827707,4.34,0
547,"[2840, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 4977, 13074, 0]",0.11431320131827707,4.34,0
555,"[2840, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 6709, 13074, 0]",0.12252828273621579,4.2,1
560,"[2653, 3237, 3701, 4133, 4229, 4346, 4500]","[1239, 3290, 3900, 4821, 6709, 13074, 0]",0.10404817927478703,4.53,1
566,"[2653, 3237, 3701, 4133, 4229, 4345, 4500]","[1239, 3290, 3900, 4821, 6709, 13074, 0]",0.10442818286133335,4.52,1
567,"[2634, 3237, 3701, 4133, 4229, 4345, 4500]","[1239, 3290, 3900, 4821, 6709, 13074, 0]",0.0994775947187509,4.62,1
607,"[2634, 3237, 3701, 4133, 4229, 4345, 4500]","[1239, 3290, 3900, 6334, 6709, 13074, 0]",0.11114292566994946,4.39,1
