Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
125,"[1121, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10160, 14498, 0]",0.0076908300422904,9.74,1,3.27
128,"[1121, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10160, 14498, 0]",0.0076908300422904,9.74,0,3.27
129,"[1121, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10160, 14498, 0]",0.0078061875181051,9.71,1,3.29
130,"[1121, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10160, 14498, 0]",0.0078061875181051,9.71,0,3.29
134,"[1121, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0058555158818471,10.28,1,3.29
135,"[1097, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0075225228727843,9.78,1,3.46
140,"[1069, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0083359184560425,9.57,1,3.45
146,"[1069, 2400, 3009, 3093, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0083359184560425,9.57,0,3.45
147,"[1069, 2400, 3009, 3379, 3485, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0095102128710808,9.31,1,3.45
149,"[1069, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 2500, 3599, 10632, 14498, 0]",0.0088176706846537,9.46,1,3.45
154,"[1069, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10632, 14498, 0]",0.0050026780772246,10.6,1,3.45
155,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10632, 14498, 0]",0.0029252210572551,11.67,1,3.37
156,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10632, 14498, 0]",0.0029252210572551,11.67,0,3.37
161,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10632, 14498, 0]",0.0029252210572551,11.67,0,3.37
169,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10331, 14498, 0]",0.0036552975727592,11.22,1,3.37
172,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10331, 14498, 0]",0.0036552975727592,11.22,0,3.37
173,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10331, 14498, 0]",0.0033896953204924,11.37,1,3.25
179,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10331, 14498, 0]",0.0033896953204924,11.37,1,3.25
183,"[1173, 2400, 3009, 3379, 3468, 3734, 4500]","[738, 1033, 3204, 3599, 10331, 14498, 0]",0.0033896953204924,11.37,0,3.25
