Depth_km,Vs_km_s
0.0,0.9425233644859814
0.10018214936247723,0.9425233644859814
0.20036429872495445,0.9425260536060086
0.3005464480874317,0.942623172391166
0.4007285974499089,0.9442064594369135
0.5009107468123861,0.9600111107251486
0.6010928961748634,1.076899713328246
0.7012750455373405,1.5361493179469914
0.8014571948998178,2.2980356749236948
0.9016393442622951,2.823363725156997
1.0018214936247722,2.9993252333688436
1.1020036429872495,3.0415275592396185
1.2021857923497268,3.0508550376492467
1.302367941712204,3.0522366406929464
1.402550091074681,3.0523364485981306
1.5027322404371584,3.0524308782632605
1.6029143897996356,3.0536074872565364
1.703096539162113,3.059646139316744
1.8032786885245902,3.0737009452004616
1.9034608378870672,3.0926151050310837
2.0036429872495445,3.1125250818848036
2.1038251366120218,3.1314392417154258
2.204007285974499,3.145496736719171
2.3041894353369763,3.1516271293244813
2.4043715846994536,3.1539803473110326
2.504553734061931,3.16011342903637
2.604735883424408,3.1742626645852177
2.704918032786885,3.1943534334091153
2.805100182149362,3.2202993732030154
2.9052823315118395,3.2531792874922805
3.0054644808743167,3.2850633847584474
3.105646630236794,3.3061499706054427
3.2058287795992713,3.3182245856058303
3.3060109289617485,3.3275117780877466
3.406193078324226,3.332557302244884
3.506375227686703,3.334729728261257
3.6065573770491803,3.3396808227532637
3.7067395264116576,3.3477023548168283
3.8069216757741344,3.352653449308836
3.9071038251366117,3.3548231862051825
4.007285974499089,3.3597742806971893
4.107468123861566,3.3677958127607543
4.2076502732240435,3.372746907252761
4.307832422586521,3.374916644149107
4.408014571948998,3.3798704277611415
4.508196721311475,3.387981011249782
4.608378870673953,3.394016974189962
4.70856102003643,3.4010514432732677
4.808743169398907,3.4141104321338873
4.908925318761384,3.4281652380176055
5.009107468123862,3.4400590610478146
5.109289617486339,3.4541111778115052
5.209471766848816,3.46708111524705
5.3096539162112935,3.473030715882182
5.40983606557377,3.4742046357554304
5.510018214936247,3.4742963763005332
5.610200364298724,3.4742990654205603
5.710382513661202,3.4743017545405874
5.810564663023679,3.4743908059656627
5.910746812386156,3.4754756744138358
6.0109289617486334,3.4803377174807677
6.111111111111111,3.4883538713042777
6.211293260473588,3.4932159143712096
6.311475409836065,3.4943007828193826
6.4116575591985425,3.4943898342444584
6.51183970856102,3.4943925233644855
6.612021857923497,3.4943925233644855
6.712204007285974,3.4943925233644855
6.812386156648452,3.4943925233644855
6.912568306010929,3.4943925233644855
7.012750455373406,3.4943925233644855
7.112932604735883,3.4943925233644855
7.213114754098361,3.4943925233644855
7.313296903460838,3.4943925233644855
7.413479052823315,3.494395212484513
7.513661202185792,3.4944842639095883
7.613843351548269,3.4955691323577613
7.714025500910746,3.5004311754246933
7.814207650273223,3.5084473292482032
7.914389799635701,3.5133093723151347
8.014571948998178,3.514394240763308
8.114754098360656,3.514483292188383
8.214936247723132,3.514485981308411
8.31511839708561,3.514488670428438
8.415300546448087,3.514577721853513
8.515482695810565,3.5156625903016865
8.615664845173042,3.5205246333686184
8.715846994535518,3.528540787192129
8.816029143897996,3.5334028302590603
8.916211293260472,3.534487698707234
9.01639344262295,3.5345767501323087
9.116575591985427,3.534579439252336
9.216757741347905,3.5345821283723637
9.316939890710382,3.534671179797439
9.41712204007286,3.535756048245612
9.517304189435336,3.5406180913125436
9.617486338797814,3.548634245136054
9.71766848816029,3.553498977323013
9.817850637522769,3.5546728971962613
