Depth_km,Vs_km_s
0.0,0.922429906542056
0.10018214936247723,0.922429906542056
0.20036429872495445,0.9224325956620834
0.3005464480874317,0.9225270253272133
0.4007285974499089,0.9237980639856191
0.5009107468123861,0.9313766667069628
0.6010928961748634,0.9616543731769153
0.7012750455373405,1.1106735831022614
0.8014571948998178,1.6598624257011096
0.9016393442622951,2.5492836854038585
1.0018214936247722,3.1225007922675347
1.1020036429872495,3.2744959879282645
1.2021857923497268,3.292444351081572
1.302367941712204,3.2934364309650146
1.402550091074681,3.2934606330452607
1.5027322404371584,3.293549684470336
1.6029143897996356,3.294634552918509
1.703096539162113,3.299496595985441
1.8032786885245902,3.3075154389289785
1.9034608378870672,3.3124665334209853
2.0036429872495445,3.3146362703173313
2.1038251366120218,3.3195873648093386
2.204007285974499,3.3276062077528765
2.3041894353369763,3.332468250819808
2.4043715846994536,3.3335531192679815
2.504553734061931,3.333642170693057
2.604735883424408,3.333647548933111
2.704918032786885,3.3337366003581863
2.805100182149362,3.3348214688063593
2.9052823315118395,3.339683511873291
3.0054644808743167,3.347699665696801
3.105646630236794,3.352561708763733
3.2058287795992713,3.353646577211906
3.3060109289617485,3.353738317757009
3.406193078324226,3.353830058302112
3.506375227686703,3.354914926750285
3.6065573770491803,3.359776969817217
3.7067395264116576,3.3677958127607543
3.8069216757741344,3.372746907252761
3.9071038251366117,3.374916644149107
4.007285974499089,3.3798704277611415
4.107468123861566,3.387978322129755
4.2076502732240435,3.393927922764887
4.307832422586521,3.399963885705067
4.408014571948998,3.4091539594018254
4.508196721311475,3.4188834237757435
4.608378870673953,3.4280734974725027
4.70856102003643,3.434109460412683
4.808743169398907,3.4400590610478146
4.908925318761384,3.448166955416428
5.009107468123862,3.4531207390284626
5.109289617486339,3.4552904759248086
5.209471766848816,3.460241570416816
5.3096539162112935,3.4682631024803805
5.40983606557377,3.4732141969723873
5.510018214936247,3.4753839338687333
5.610200364298724,3.48033502836074
5.710382513661202,3.4883538713042777
5.810564663023679,3.4932159143712096
5.910746812386156,3.4943007828193826
6.0109289617486334,3.4943925233644855
6.111111111111111,3.4944842639095883
6.211293260473588,3.4955691323577613
6.311475409836065,3.5004311754246933
6.4116575591985425,3.5084473292482032
6.51183970856102,3.5133093723151347
6.612021857923497,3.514394240763308
6.712204007285974,3.514483292188383
6.812386156648452,3.514488670428438
6.912568306010929,3.514577721853513
7.012750455373406,3.5156625903016865
7.112932604735883,3.5205246333686184
7.213114754098361,3.528540787192129
7.313296903460838,3.533405519379088
7.413479052823315,3.534579439252336
7.513661202185792,3.535753359125585
7.613843351548269,3.5406207804325707
7.714025500910746,3.5487259856811564
7.814207650273223,3.5546728971962613
7.914389799635701,3.5606198087113663
8.014571948998178,3.568725013959952
8.114754098360656,3.5735897461469106
8.214936247723132,3.574677303715111
8.31511839708561,3.574855406565262
8.415300546448087,3.5759429641334624
8.515482695810565,3.580805007200394
8.615664845173042,3.588823850143932
8.715846994535518,3.593774944635939
8.816029143897996,3.595944681532285
8.916211293260472,3.6008957760242923
9.01639344262295,3.608917308087857
9.116575591985427,3.6138684025798637
9.216757741347905,3.61603813947621
9.316939890710382,3.620989233968217
9.41712204007286,3.629008076911755
9.517304189435336,3.6338701199786865
9.617486338797814,3.63495498842686
9.71766848816029,3.635046728971963
9.817850637522769,3.635138469517065
9.918032786885245,3.6362233379652382
10.018214936247723,3.6410853810321697
10.1183970856102,3.64910153485568
10.218579234972678,3.653963577922612
10.318761384335154,3.6550484463707846
10.418943533697632,3.6551374977958604
10.519125683060109,3.655142876035915
10.619307832422587,3.6552319274609903
10.719489981785063,3.6563167959091634
10.81967213114754,3.6611788389760953
10.919854280510018,3.6691949927996053
11.020036429872494,3.6740570358665368
11.120218579234972,3.67514190431471
11.220400728597449,3.675230955739785
11.320582877959927,3.6752336448598126
11.420765027322403,3.6752336448598126
11.520947176684881,3.67523633397984
11.621129326047358,3.6753253854049155
11.721311475409836,3.6764102538530885
11.821493624772312,3.68127229692002
11.92167577413479,3.6892884507435304
12.021857923497267,3.6941504938104623
12.122040072859745,3.6952353622586354
12.222222222222221,3.6953244136837107
12.3224043715847,3.6953271028037378
12.422586520947176,3.6953271028037378
12.522768670309654,3.6953271028037378
12.62295081967213,3.6953271028037378
12.723132969034609,3.6953271028037378
12.823315118397085,3.6953271028037378
12.923497267759561,3.6953271028037378
13.02367941712204,3.6953271028037378
13.123861566484516,3.6953271028037378
13.224043715846994,3.6953297919237653
13.32422586520947,3.6954188433488406
13.424408014571949,3.6965037117970136
13.524590163934425,3.7013657548639456
13.624772313296903,3.709381908687456
13.72495446265938,3.714243951754388
13.825136612021858,3.7153288202025605
13.925318761384334,3.7154178716276363
14.025500910746812,3.715423249867691
14.125683060109289,3.715512301292766
14.225865209471767,3.7165971697409392
14.326047358834243,3.721459212807871
14.426229508196721,3.729475366631381
14.526411657559198,3.734337409698313
14.626593806921676,3.735424967266513
14.726775956284152,3.7356030701166643
14.82695810564663,3.7366906276848644
14.927140255009107,3.741552670751796
15.027322404371583,3.7495688245753063
15.127504553734061,3.754430867642238
15.227686703096538,3.755515736090411
15.327868852459016,3.7556047875154865
15.428051001821492,3.7556074766355136
15.52823315118397,3.7556074766355136
15.628415300546447,3.7556074766355136
