Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[836, 3267, 3574, 3722, 3825, 3895, 4500]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.23547814976269213,2.89,1,3.44
5,"[911, 3267, 3574, 3722, 3825, 3895, 4500]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.2083541841971092,3.14,1,3.44
8,"[911, 3267, 3574, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.17601794648223604,3.47,1,3.44
9,"[911, 3417, 3574, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.181737712631267,3.41,1,3.44
10,"[911, 3417, 3574, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.18181121140140083,3.41,1,3.44
12,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 5622, 6536, 14037, 0]",0.19436330539776187,3.28,1,3.44
15,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 5622, 6536, 13865, 0]",0.19153299189160627,3.31,1,3.44
17,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 4667, 6536, 13865, 0]",0.15633191695337526,3.71,1,3.44
20,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2813, 4452, 4667, 6536, 13865, 0]",0.15633191695337526,3.71,0,3.44
22,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.1566387701417775,3.71,1,3.44
25,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.1566387701417775,3.71,0,3.44
26,"[911, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.1566387701417775,3.71,0,3.44
33,"[905, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.1597200942832164,3.67,1,3.17
35,"[905, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.1597200942832164,3.67,0,3.17
38,"[905, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 13865, 0]",0.14777211840485463,3.82,1,2.93
41,"[905, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.1670689221444563,3.58,1,2.93
43,"[889, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.17933661514551816,3.44,1,3.04
44,"[971, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.15834224084682988,3.69,1,3.04
46,"[971, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.15834224084682988,3.69,0,3.04
50,"[983, 3417, 3640, 3722, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.1493496230491273,3.8,1,2.92
60,"[983, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.147195331308525,3.83,1,2.92
65,"[956, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.14163516842403576,3.91,1,2.69
66,"[598, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6536, 15880, 0]",0.004535994010659576,10.79,1,2.69
70,"[598, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 6417, 15880, 0]",0.004872540836870269,10.65,1,2.69
78,"[598, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 5703, 15880, 0]",0.0052948062519873025,10.48,1,2.69
80,"[598, 3417, 3640, 3730, 3825, 3895, 4260]","[322, 2874, 4452, 4667, 5703, 15880, 0]",0.0052948062519873025,10.48,0,2.69
82,"[598, 3417, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5703, 15880, 0]",0.006006915038413245,10.23,1,2.69
84,"[598, 3417, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5703, 15880, 0]",0.006006915038413245,10.23,1,2.69
87,"[598, 3267, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5703, 15880, 0]",0.004233997698758423,10.93,1,2.69
89,"[598, 3267, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5494, 15880, 0]",0.004499595976006007,10.81,1,2.69
90,"[598, 3267, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5494, 15880, 0]",0.004499595976006007,10.81,0,2.69
92,"[598, 3267, 3640, 3730, 3825, 3895, 4500]","[322, 2874, 4452, 4667, 5307, 15880, 0]",0.004617312470841621,10.76,1,2.69
98,"[598, 3267, 3640, 3730, 3825, 3895, 3996]","[322, 2874, 4452, 4667, 5307, 15880, 0]",0.0027344768695742026,11.8,1,2.69
100,"[598, 3267, 3640, 3730, 3825, 3895, 3996]","[322, 2874, 4452, 4667, 5307, 15880, 0]",0.0027344768695742026,11.8,0,2.69
108,"[598, 3267, 3640, 3730, 3825, 3895, 3996]","[322, 2874, 4452, 4667, 5307, 15880, 0]",0.0015154650768281278,12.98,1,2.53
112,"[598, 3267, 3640, 3730, 3825, 3895, 3996]","[322, 1592, 4452, 4667, 5307, 15880, 0]",0.0014580942193393928,13.06,1,2.53
113,"[598, 3267, 3640, 3730, 3825, 3895, 3996]","[322, 1592, 4452, 4667, 5172, 15880, 0]",0.001419401374221325,13.12,1,2.53
116,"[598, 3267, 3640, 3730, 3825, 3895, 3933]","[322, 1592, 4452, 4667, 5172, 15880, 0]",0.0013056014194211415,13.28,1,2.53
