Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
1,"[3313, 3489, 3648, 3783, 3882, 3969, 4407]","[2216, 3104, 3119, 4086, 7701, 16128, 0]",0.39567384570832964,1.85,1
3,"[2993, 3489, 3648, 3783, 3882, 3969, 4407]","[2216, 3104, 3119, 4086, 7701, 16128, 0]",0.26040951225521064,2.69,1
15,"[2993, 3489, 3648, 3783, 3882, 3969, 4407]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.2545353270983789,2.74,1
18,"[2993, 3489, 3648, 3783, 3882, 3969, 4500]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.25068112558513483,2.77,1
22,"[2993, 3489, 3648, 3783, 3882, 3941, 4500]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.25274792485875086,2.75,1
25,"[2993, 3489, 3648, 3783, 3882, 3941, 4500]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.25274792485875086,2.75,0
28,"[2993, 3489, 3648, 3703, 3882, 3941, 4500]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.27028698038985005,2.62,1
30,"[2993, 3489, 3648, 3703, 3882, 3941, 4500]","[2216, 3104, 3119, 3341, 7701, 16128, 0]",0.27028698038985005,2.62,1
47,"[2993, 3489, 3648, 3703, 3882, 3941, 4500]","[2216, 3104, 3119, 3341, 7701, 15414, 0]",0.2282998230323522,2.95,1
51,"[2993, 3489, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3119, 3341, 7701, 15414, 0]",0.22715831512947807,2.96,1
54,"[2993, 3489, 3648, 3703, 3882, 3949, 4396]","[2216, 3104, 3119, 3341, 7701, 15414, 0]",0.2251431063513142,2.98,1
55,"[2993, 3489, 3648, 3703, 3882, 3949, 4396]","[2216, 3104, 3119, 3154, 7701, 15414, 0]",0.20600902517688557,3.16,1
85,"[3384, 3489, 3648, 3703, 3882, 3949, 4396]","[2216, 3104, 3119, 3154, 7701, 15414, 0]",0.25973719355521646,2.7,1
87,"[3384, 3489, 3648, 3703, 3882, 3949, 4396]","[2216, 3104, 3119, 3154, 7701, 15414, 0]",0.25973719355521646,2.7,0
89,"[3384, 3489, 3648, 3703, 3882, 3949, 4396]","[2216, 3104, 3119, 3154, 7701, 15414, 0]",0.25973719355521646,2.7,0
93,"[3384, 3489, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3119, 3154, 7701, 15414, 0]",0.24710668166050104,2.8,1
99,"[3384, 3489, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3119, 3154, 7701, 13579, 0]",0.14044696168028065,3.93,1
103,"[3384, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3119, 3154, 7701, 13579, 0]",0.14130445272790548,3.91,1
105,"[3384, 3606, 3648, 3703, 3882, 3949, 4222]","[2216, 3104, 3119, 3154, 7701, 13579, 0]",0.19268407545563956,3.29,1
120,"[3384, 3606, 3648, 3703, 3882, 3949, 4222]","[2216, 3104, 3119, 7457, 7701, 13579, 0]",0.23792801201233552,2.87,1
123,"[3063, 3606, 3648, 3703, 3882, 3949, 4222]","[2216, 3104, 3119, 7457, 7701, 13579, 0]",0.16608820502645635,3.59,1
126,"[3063, 3606, 3648, 3703, 3882, 3949, 4222]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15879057141979708,3.68,1
127,"[3063, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15572798912249647,3.72,1
128,"[3063, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15572798912249647,3.72,1
131,"[3063, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15572798912249647,3.72,0
134,"[3063, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15572798912249647,3.72,1
139,"[3063, 3606, 3648, 3703, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.15572798912249647,3.72,0
144,"[3063, 3606, 3648, 3773, 3882, 3949, 4500]","[2216, 3104, 3273, 7457, 7701, 13579, 0]",0.18175382326216633,3.41,1
146,"[3063, 3606, 3648, 3773, 3882, 3949, 4500]","[2216, 3104, 3273, 7477, 7701, 13579, 0]",0.17986080077218636,3.43,1
152,"[3158, 3606, 3648, 3773, 3882, 3949, 4500]","[2216, 3104, 3273, 7477, 7701, 13579, 0]",0.212030207564063,3.1,1
153,"[3158, 3606, 3648, 3773, 3882, 3949, 4500]","[2216, 3104, 3273, 7477, 7701, 13579, 0]",0.212030207564063,3.1,0
162,"[3158, 3606, 3648, 3773, 3882, 3949, 4500]","[2216, 3104, 5394, 7477, 7701, 13579, 0]",0.06363847556725448,5.51,1
168,"[3158, 3606, 3648, 3773, 3882, 3929, 4500]","[2216, 3104, 5394, 7477, 7701, 13579, 0]",0.059545009949691224,5.64,1
181,"[3158, 3256, 3648, 3773, 3882, 3929, 4500]","[2216, 3104, 5394, 7477, 7701, 13579, 0]",0.03971203882334582,6.45,1
184,"[3158, 3256, 3648, 3773, 3882, 3929, 4486]","[2216, 3104, 5394, 7477, 7701, 13579, 0]",0.041769328018139956,6.35,1
187,"[3158, 3256, 3648, 3773, 3882, 3929, 4486]","[2216, 3104, 5394, 7477, 7701, 13579, 0]",0.041769328018139956,6.35,0
199,"[3158, 3256, 3648, 3773, 3882, 3929, 4486]","[2216, 3104, 5201, 7477, 7701, 13579, 0]",0.04351361031852236,6.27,1
207,"[3158, 3256, 3648, 3773, 3882, 3929, 4486]","[2216, 3104, 5201, 7070, 7701, 13579, 0]",0.047898042261381515,6.08,1
212,"[3158, 3256, 3648, 3773, 3882, 3929, 4250]","[2216, 3104, 5201, 7070, 7701, 13579, 0]",0.0902466087815957,4.81,1
217,"[3158, 3256, 3648, 3773, 3882, 3929, 4250]","[2216, 3104, 5201, 7070, 7701, 11006, 0]",0.20089336797478916,3.21,1
222,"[3158, 3478, 3648, 3773, 3882, 3929, 4250]","[2216, 3104, 5201, 7070, 7701, 11006, 0]",0.250462606287147,2.77,1
228,"[3158, 3478, 3648, 3773, 3882, 3929, 4250]","[2216, 3104, 5201, 7070, 7701, 10042, 0]",0.2742653299048542,2.59,1
