Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
271,"[3060, 3729, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 8223, 9438, 23822, 0]",0.1344340260585738,4.01,1
273,"[3060, 3567, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 8223, 9438, 23822, 0]",0.10099998617420036,4.59,1
275,"[3060, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 8223, 9438, 23822, 0]",0.07645573934537377,5.14,1
279,"[3060, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 8223, 10157, 23822, 0]",0.07700433016875072,5.13,1
287,"[3060, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 8223, 10426, 23822, 0]",0.07662325106996272,5.14,1
288,"[3060, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 23822, 0]",0.08011934782765763,5.05,1
289,"[3060, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 24107, 0]",0.08006848932507352,5.05,1
297,"[2736, 3442, 3943, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 24107, 0]",0.022610382144985543,7.58,1
302,"[2736, 3442, 3521, 4286, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 24107, 0]",0.022150012843863042,7.62,1
305,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 24107, 0]",0.017857848419967664,8.05,1
307,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 3336, 5523, 9380, 10426, 24107, 0]",0.017857848419967664,8.05,0
308,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 4742, 5523, 9380, 10426, 24107, 0]",0.0431081414842998,6.29,1
312,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 4742, 5523, 9380, 10426, 26948, 0]",0.045343081365112774,6.19,1
314,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 4742, 5523, 9380, 10426, 26948, 0]",0.045343081365112774,6.19,0
317,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 2520, 5523, 9380, 10426, 26948, 0]",0.01948310812997214,7.88,1
319,"[2736, 3442, 3521, 4326, 4416, 4449, 4500]","[1666, 2520, 5523, 9380, 11839, 26948, 0]",0.01880095901869919,7.95,1
340,"[2736, 3442, 3521, 4372, 4416, 4449, 4500]","[1666, 2520, 5523, 9380, 11839, 26948, 0]",0.014516804694470574,8.46,1
350,"[2736, 3442, 3521, 3754, 4416, 4449, 4500]","[1666, 2520, 5523, 9380, 11839, 26948, 0]",0.04595452030346468,6.16,1
358,"[2736, 3442, 3521, 3754, 4416, 4449, 4500]","[1666, 2520, 5523, 9380, 11839, 26948, 0]",0.04595452030346468,6.16,0
359,"[2736, 3442, 3521, 3754, 4416, 4449, 4500]","[1666, 2520, 5523, 7382, 11839, 26948, 0]",0.04526672204756777,6.19,1
360,"[2736, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 7382, 11839, 26948, 0]",0.07494209741171026,5.18,1
362,"[2736, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 7382, 11839, 25171, 0]",0.07771671599501508,5.11,1
366,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 7382, 11839, 25171, 0]",0.1542022272203007,3.74,1
367,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 7382, 11839, 23001, 0]",0.15616367899619024,3.71,1
378,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 9432, 11839, 23001, 0]",0.14987371523074985,3.8,1
379,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 8435, 11839, 23001, 0]",0.15860485840402927,3.68,1
385,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 8435, 11839, 23001, 0]",0.15860485840402927,3.68,0
387,"[3024, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 8435, 13994, 23001, 0]",0.13639586534003667,3.98,1
397,"[3353, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 8435, 13994, 23001, 0]",0.18654912875821422,3.36,1
402,"[3353, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 5523, 8435, 13994, 23001, 0]",0.18654912875821422,3.36,0
408,"[3353, 3442, 3521, 3754, 4030, 4449, 4500]","[1666, 2520, 3401, 8435, 13994, 23001, 0]",0.2521021405025289,2.76,1
410,"[3353, 3442, 3521, 3754, 4101, 4449, 4500]","[1666, 2520, 3401, 8435, 13994, 23001, 0]",0.257510568136746,2.71,1
416,"[3353, 3442, 3521, 3754, 4101, 4449, 4500]","[1666, 2520, 3401, 8435, 11194, 23001, 0]",0.23031711452785925,2.94,1
421,"[3396, 3442, 3521, 3754, 4101, 4449, 4500]","[1666, 2520, 3401, 8435, 11194, 23001, 0]",0.23470138839697471,2.9,1
422,"[3396, 3442, 3521, 3754, 4337, 4449, 4500]","[1666, 2520, 3401, 8435, 11194, 23001, 0]",0.20216136516662148,3.2,1
423,"[3396, 3442, 3521, 3754, 4337, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.24053811827246302,2.85,1
425,"[3396, 3442, 3521, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.26454137828369584,2.66,1
426,"[3082, 3442, 3521, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.2081616705607125,3.14,1
436,"[2988, 3442, 3521, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.17825379060279833,3.45,1
437,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.1671280994817418,3.58,1
440,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23001, 0]",0.1671280994817418,3.58,0
442,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11194, 23903, 0]",0.16556983573136222,3.6,1
452,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 11278, 23903, 0]",0.16563316980061046,3.6,1
471,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 12886, 23903, 0]",0.17214487199860196,3.52,1
473,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 12886, 19680, 0]",0.16540787821396885,3.6,1
476,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 12886, 18327, 0]",0.16277676101854646,3.63,1
480,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 16961, 18327, 0]",0.17550118492232072,3.48,1
489,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 16961, 18327, 0]",0.17550118492232072,3.48,1
490,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1666, 2520, 3401, 7249, 15230, 18327, 0]",0.17059353898995733,3.54,1
502,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1134, 2520, 3401, 7249, 15230, 18327, 0]",0.23135522177383375,2.93,1
503,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1134, 2520, 3401, 5091, 15230, 18327, 0]",0.09323953303773981,4.75,1
513,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1602, 2520, 3401, 5091, 15230, 18327, 0]",0.10598100861190372,4.49,1
529,"[2988, 3442, 3609, 3754, 4237, 4449, 4500]","[1602, 2476, 3401, 5091, 15230, 18327, 0]",0.10183575787299622,4.57,1
557,"[2988, 3442, 3609, 3930, 4237, 4449, 4500]","[1602, 2476, 3401, 5091, 15230, 18327, 0]",0.09660243627720994,4.67,1
570,"[2988, 3442, 3609, 3895, 4237, 4449, 4500]","[1602, 2476, 3401, 5091, 15230, 18327, 0]",0.09956868601543718,4.61,1
578,"[2988, 3442, 3609, 3895, 4356, 4449, 4500]","[1602, 2476, 3401, 5091, 15230, 18327, 0]",0.08002481609514649,5.05,1
581,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 2476, 3401, 5091, 15230, 18327, 0]",0.09407841981785023,4.73,1
604,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 2476, 3401, 7111, 15230, 18327, 0]",0.17856779018866295,3.45,1
611,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 2476, 3401, 8954, 15230, 18327, 0]",0.1536419650366161,3.75,1
613,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 3401, 8954, 15230, 18327, 0]",0.14540915727532666,3.86,1
626,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 3544, 8954, 15230, 18327, 0]",0.14432982695115992,3.87,1
637,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 4650, 8954, 15230, 18327, 0]",0.13628838668598625,3.99,1
641,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 4317, 8954, 15230, 18327, 0]",0.13932623569788563,3.94,1
644,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 4317, 8986, 15230, 18327, 0]",0.1407263047773557,3.92,1
646,"[2988, 3527, 3609, 3895, 4356, 4449, 4500]","[1602, 3203, 4317, 8986, 15230, 18327, 0]",0.1407263047773557,3.92,0
657,"[2988, 3527, 3609, 3673, 4356, 4449, 4500]","[1602, 3203, 4317, 8986, 15230, 18327, 0]",0.0933801459669542,4.74,1
662,"[2988, 3527, 3609, 3673, 4356, 4449, 4500]","[1602, 3203, 4317, 9122, 15230, 18327, 0]",0.0957510634807582,4.69,1
664,"[2988, 3527, 3609, 3673, 4356, 4449, 4500]","[1602, 3203, 4317, 9122, 15520, 18327, 0]",0.09463600213706089,4.72,1
