Depth_km,Vs_km_s
0.0,3.3
0.05004549590536852,3.3
0.10009099181073704,3.3
0.15013648771610555,3.3
0.20018198362147407,3.3
0.2502274795268426,3.3
0.3002729754322111,3.3
0.35031847133757965,3.3
0.40036396724294815,3.3
0.45040946314831665,3.3
0.5004549590536852,3.3
0.5505004549590538,3.3
0.6005459508644222,3.3
0.6505914467697907,3.3
0.7006369426751593,3.3
0.7506824385805277,3.3
0.8007279344858963,3.3
0.8507734303912649,3.3
0.9008189262966333,3.3000026766124924
0.9508644222020018,3.3000913138448924
1.0009099181073704,3.301173813005799
1.0509554140127388,3.306101879151332
1.1010009099181075,3.315160571086868
1.151046405823476,3.3248394289131324
1.2010919017288444,3.3338981208486684
1.251137397634213,3.3388261869942006
1.3011828935395815,3.3399086861551073
1.35122838944495,3.34
1.4012738853503186,3.340091313844893
1.451319381255687,3.341171136393307
1.5013648771610555,3.346010565306439
1.5514103730664242,3.3539894346935615
1.6014558689717926,3.3588288636066936
1.651501364877161,3.3599086861551077
1.7015468607825297,3.359997323387508
1.7515923566878981,3.3600000000000003
1.8016378525932666,3.3600000000000003
1.8516833484986353,3.360002676612493
1.9017288444040037,3.3600913138448933
1.9517743403093721,3.3611711363933074
2.001819836214741,3.366010565306439
2.0518653321201095,3.3739921113060536
2.1019108280254777,3.378920177451586
2.1519563239308463,3.38109855883586
2.202001819836215,3.386647085608197
2.2520473157415832,3.4021900660592026
2.302092811646952,3.440994134596659
2.3521383075523206,3.4990058654033414
2.402183803457689,3.5378126105532903
2.4522292993630574,3.5534415516242035
2.502274795268426,3.5599812637125545
2.5523202911737943,3.5659192514615468
2.602365787079163,3.5739867580810687
2.6524112829845317,3.5788288636066934
2.7024567788899,3.579906009542615
2.7525022747952685,3.579906009542615
2.802547770700637,3.5788288636066934
2.8525932666060054,3.5739867580810687
2.902638762511374,3.565916574849054
2.9526842584167428,3.5599086861551075
3.002729754322111,3.552906935532655
3.0527752502274796,3.5399113627675995
3.1028207461328483,3.5260105653064393
3.1528662420382165,3.515251884931761
3.202911737943585,3.5061045557638244
3.252957233848954,3.501173813005799
3.303002729754322,3.5000913138448935
3.3530482256596907,3.5000026766124925
3.4030937215650594,3.5
3.4531392174704276,3.5000026766124925
3.5031847133757963,3.5000913138448935
3.553230209281165,3.501171136393307
3.603275705186533,3.506010565306439
3.653321201091902,3.5139894346935607
3.7033666969972705,3.518828863606693
3.7534121929026387,3.519908686155107
3.8034576888080074,3.519997323387508
3.853503184713376,3.52
3.9035486806187443,3.520002676612492
3.953594176524113,3.520091313844893
4.003639672429482,3.521171136393307
4.05368516833485,3.5260105653064393
4.103730664240219,3.5339921113060537
4.153776160145587,3.538920177451586
4.203821656050955,3.541079822548414
4.2538671519563245,3.546010565306439
4.303912647861693,3.5540807485384542
4.353958143767061,3.5600000000000005
4.40400363967243,3.5659192514615468
4.454049135577798,3.5739867580810687
4.5040946314831665,3.5788288636066934
4.554140127388536,3.5799086861551075
4.604185623293904,3.579997323387508
4.654231119199272,3.58
4.704276615104641,3.58
4.754322111010009,3.58
4.804367606915378,3.58
4.854413102820747,3.58
4.904458598726115,3.58
4.954504094631483,3.58
5.004549590536852,3.58
5.05459508644222,3.58
5.104640582347589,3.58
5.154686078252958,3.58
5.204731574158326,3.5800026766124926
5.254777070063694,3.580091313844893
5.304822565969063,3.581171136393307
5.3548680618744315,3.586010565306439
5.4049135577798,3.593989434693561
5.454959053685169,3.598828863606693
5.505004549590537,3.599908686155107
5.555050045495905,3.599997323387508
5.605095541401274,3.6
5.655141037306643,3.6
5.705186533212011,3.6
5.75523202911738,3.6
5.805277525022748,3.6
5.855323020928116,3.6
5.9053685168334855,3.6
5.955414012738854,3.600002676612492
6.005459508644222,3.600091313844893
6.055505004549591,3.601171136393307
6.105550500454959,3.6060105653064394
6.1555959963603275,3.6139894346935613
6.205641492265697,3.6188288636066934
6.255686988171065,3.6199086861551075
6.305732484076433,3.619997323387508
6.355777979981802,3.62
6.40582347588717,3.62
6.455868971792539,3.62
6.505914467697908,3.62
6.555959963603276,3.62
6.606005459508644,3.6200026766124926
6.656050955414013,3.6200913138448936
6.7060964513193815,3.6211711363933077
6.75614194722475,3.6260105653064394
6.806187443130119,3.6339894346935613
6.856232939035487,3.6388288636066934
6.906278434940855,3.6399086861551075
6.956323930846224,3.639997323387508
7.006369426751593,3.6400000000000006
7.056414922656961,3.6400000000000006
7.10646041856233,3.6400000000000006
7.156505914467698,3.6400000000000006
7.206551410373066,3.6400000000000006
7.2565969062784355,3.6400000000000006
7.306642402183804,3.6400000000000006
7.356687898089172,3.6400000000000006
7.406733393994541,3.6400000000000006
7.456778889899909,3.6400000000000006
7.5068243858052774,3.6400000000000006
7.5568698817106466,3.6400000000000006
7.606915377616015,3.6400000000000006
7.656960873521383,3.6400000000000006
7.707006369426752,3.6400000000000006
7.75705186533212,3.6400000000000006
7.8070973612374885,3.6400000000000006
7.857142857142858,3.6400000000000006
7.907188353048226,3.6400000000000006
7.957233848953594,3.6400000000000006
8.007279344858963,3.6400026766124927
8.057324840764332,3.640091313844893
8.1073703366697,3.6411711363933073
8.157415832575069,3.6460105653064394
