Iteration,VS,Thickness,Likelihood,Misfit,Acceptance,VpVs0
1,"[745, 3112, 3208, 3483, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 5576, 9759, 0]",0.5163121809047403,1.32,1,3.41
5,"[745, 3112, 3208, 3483, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 5576, 9759, 0]",0.5163121809047403,1.32,0,3.41
9,"[745, 3112, 3208, 3483, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 5576, 10661, 0]",0.5192770147328881,1.31,1,3.41
16,"[745, 3112, 3208, 3483, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.45178495169376626,1.59,1,3.41
20,"[745, 3112, 3208, 3483, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.4508601932468905,1.59,1,3.44
30,"[745, 3112, 3208, 3257, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.4243971414007704,1.71,1,3.44
31,"[698, 3112, 3208, 3257, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.44728735109330325,1.61,1,3.31
32,"[672, 3112, 3208, 3257, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.4383362221213739,1.65,1,3.34
47,"[685, 3112, 3208, 3257, 3562, 3700, 3936]","[458, 2906, 3154, 4290, 9716, 10661, 0]",0.42980715858179297,1.69,1,3.22
55,"[685, 3112, 3208, 3257, 3562, 3700, 3936]","[458, 2906, 3685, 4290, 9716, 10661, 0]",0.4321034562209762,1.68,1,3.22
57,"[685, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 4290, 9716, 10661, 0]",0.4315300765133513,1.68,1,3.22
62,"[658, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 4290, 9716, 10661, 0]",0.34061301521448534,2.15,1,2.99
63,"[450, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 4290, 9716, 10661, 0]",0.007335542924365786,9.83,1,2.99
67,"[450, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 4290, 9597, 10661, 0]",0.007544533450529204,9.77,1,2.99
70,"[450, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 9597, 10661, 0]",0.007023929343025201,9.92,1,2.99
79,"[450, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 9597, 10661, 0]",0.007023929343025201,9.92,1,2.99
80,"[1135, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 9597, 10661, 0]",0.03635236246900834,6.63,1,2.99
82,"[1135, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 8883, 10661, 0]",0.03515990160083804,6.7,1,2.99
83,"[1135, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 8883, 11315, 0]",0.03449467994512677,6.73,1,2.99
90,"[1067, 3112, 3208, 3265, 3562, 3700, 3936]","[458, 2906, 3685, 3706, 8883, 11315, 0]",0.05901917117540503,5.66,1,2.94
91,"[1067, 3112, 3208, 3265, 3562, 3827, 3936]","[458, 2906, 3685, 3706, 8883, 11315, 0]",0.052093926891488146,5.91,1,2.94
92,"[1067, 3112, 3208, 3265, 3562, 3827, 3936]","[458, 2906, 3685, 3706, 9096, 11315, 0]",0.04926077587481057,6.02,1,2.94
102,"[1067, 3112, 3208, 3265, 3562, 3827, 3936]","[458, 2906, 3685, 3706, 10264, 11315, 0]",0.05243995970066828,5.9,1,2.94
105,"[1067, 3112, 3208, 3265, 3562, 3827, 3936]","[458, 2906, 3685, 3706, 10264, 11315, 0]",0.052788150056604276,5.88,1,2.97
106,"[1250, 3112, 3208, 3265, 3562, 3827, 3936]","[458, 2906, 3685, 3706, 10264, 11315, 0]",0.0164787408245406,8.21,1,2.97
