Iteration,VS,Thickness,Likelihood,Misfit,Acceptance
244,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,1
252,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,0
253,"[2400, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.036552436374752015,6.62,0
259,"[2470, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 7106, 0]",0.04120872665353952,6.38,1
263,"[2470, 2999, 3209, 3564, 3748, 3810, 4324]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.030446341670409095,6.98,1
264,"[2470, 2999, 3209, 3564, 3748, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.02646280016712671,7.26,1
268,"[2607, 2999, 3209, 3564, 3748, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.028526476847211508,7.11,1
278,"[2607, 2999, 3209, 3564, 3702, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 9431, 0]",0.02644196993275778,7.27,1
283,"[2607, 2999, 3209, 3564, 3702, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 7700, 0]",0.02777540638907108,7.17,1
285,"[2607, 2999, 3209, 3564, 3778, 3810, 3899]","[1963, 4766, 4810, 4965, 6739, 7700, 0]",0.030892608220205734,6.95,1
299,"[2607, 2999, 3209, 3564, 3778, 3810, 3899]","[1963, 4766, 4810, 4965, 5392, 7700, 0]",0.03051740491566302,6.98,1
301,"[2607, 2999, 3209, 3564, 3778, 3810, 3899]","[1963, 4766, 4810, 4965, 5392, 7700, 0]",0.03051740491566302,6.98,0
309,"[2607, 2999, 3126, 3564, 3778, 3810, 3899]","[1963, 4766, 4810, 4965, 5392, 7700, 0]",0.028606574205215004,7.11,1
313,"[2607, 2999, 3126, 3564, 3778, 3810, 3899]","[1963, 4766, 4810, 4965, 5392, 6349, 0]",0.02560432126231501,7.33,1
317,"[2607, 2999, 3126, 3564, 3778, 3810, 3899]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.022814587722020087,7.56,1
320,"[2607, 2999, 3126, 3564, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.0140108381388661,8.54,1
321,"[2607, 2999, 3126, 3358, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.01911864602959964,7.91,1
323,"[2607, 2886, 3126, 3358, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.021573982973632562,7.67,1
333,"[2607, 2886, 3126, 3358, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.021573982973632562,7.67,0
335,"[2607, 2886, 3327, 3358, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.028587045907834178,7.11,1
338,"[2627, 2886, 3327, 3358, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.02958589882588407,7.04,1
341,"[2627, 2886, 3327, 3406, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.03081872810502025,6.96,1
342,"[2813, 2886, 3327, 3406, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.03423669021583044,6.75,1
350,"[2489, 2886, 3327, 3406, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 6349, 0]",0.022901696087572695,7.55,1
370,"[2489, 2886, 3327, 3406, 3778, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.028363138853887877,7.13,1
388,"[2489, 2886, 3327, 3406, 3552, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.023108440163423664,7.54,1
393,"[2489, 2886, 3327, 3453, 3552, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.022671158577242483,7.57,1
395,"[2489, 2886, 3327, 3453, 3510, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.019978949276486045,7.83,1
399,"[2400, 2886, 3327, 3453, 3510, 3810, 4135]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.013907711192122108,8.55,1
406,"[2400, 2886, 3327, 3453, 3510, 3810, 3958]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.015073513743878771,8.39,1
408,"[2400, 2886, 3327, 3453, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.02408198492546126,7.45,1
413,"[2400, 2886, 3327, 3399, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 7033, 0]",0.026048096215268584,7.3,1
418,"[2400, 2886, 3327, 3399, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 9592, 0]",0.04872874321571803,6.04,1
422,"[2400, 2886, 2935, 3399, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 9592, 0]",0.022266114066367585,7.61,1
423,"[2400, 2886, 2935, 3240, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 9592, 0]",0.03926245095094436,6.47,1
428,"[2400, 2886, 2935, 3124, 3510, 3635, 3958]","[1963, 2167, 4810, 4965, 5392, 9592, 0]",0.0479215563841979,6.08,1
431,"[2400, 2886, 2935, 3124, 3510, 3635, 3958]","[1370, 2167, 4810, 4965, 5392, 9592, 0]",0.06481679472626263,5.47,1
435,"[2400, 2886, 2935, 3124, 3510, 3635, 3958]","[1370, 4315, 4810, 4965, 5392, 9592, 0]",0.03263020155134197,6.85,1
438,"[2400, 2886, 2935, 3124, 3510, 3635, 4094]","[1370, 4315, 4810, 4965, 5392, 9592, 0]",0.03336227770888477,6.8,1
439,"[2400, 2886, 2935, 3124, 3479, 3635, 4094]","[1370, 4315, 4810, 4965, 5392, 9592, 0]",0.03240458004047516,6.86,1
440,"[2400, 2886, 2935, 3124, 3479, 3635, 4094]","[1370, 4315, 4810, 4965, 5392, 7964, 0]",0.048735151311450946,6.04,1
451,"[2400, 2886, 2935, 3124, 3479, 3635, 4094]","[2166, 4315, 4810, 4965, 5392, 7964, 0]",0.020712021633080398,7.75,1
454,"[2400, 2822, 2935, 3124, 3479, 3635, 4094]","[2166, 4315, 4810, 4965, 5392, 7964, 0]",0.01922189625234567,7.9,1
456,"[2400, 2822, 2935, 3124, 3479, 3635, 4094]","[2166, 4315, 4810, 4965, 5392, 9603, 0]",0.01854076058476548,7.98,1
465,"[2400, 2822, 2935, 3124, 3479, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 9603, 0]",0.017871973884974728,8.05,1
466,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 9603, 0]",0.01714273612742316,8.13,1
471,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 9603, 0]",0.01714273612742316,8.13,0
475,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 6057, 0]",0.021579321518190135,7.67,1
485,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 6057, 0]",0.021579321518190135,7.67,0
505,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5392, 7355, 0]",0.021290210980340014,7.7,1
508,"[2400, 2822, 2935, 3124, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5645, 7355, 0]",0.01998060188352257,7.83,1
515,"[2400, 2822, 2935, 3178, 3447, 3635, 4166]","[2166, 4315, 4810, 4965, 5645, 7355, 0]",0.020870014227386584,7.74,1
